Route,Segment,Distance_km,Slow_zone_km,Slow_zone_speed_kph,Expected_Time,Expected_Seconds
Sydney - Melbourne,Douglas Park - Marulan,91,,,54m 36s,3276
Sydney - Melbourne,Marulan - One Tree,115,,,1h 9m 0s,4140
Sydney - Melbourne,One Tree - Coolac,70,,,42m 0s,2520
Sydney - Melbourne,Coolac - Gundagai,15,,,9m 0s,540
Sydney - Melbourne,Gundagai - Table Top,166,,,1h 39m 36s,5976
Sydney - Melbourne,Table Top - Wallan,275,,,2h 45m 0s,9900
Melbourne - Sydney,Wallan - Table Top,275,,,2h 45m 0s,9900
Melbourne - Sydney,Table Top - Gundagai,166,,,1h 39m 36s,5976
Melbourne - Sydney,Gundagai - Coolac,15,,,9m 0s,540
Melbourne - Sydney,Coolac - One Tree,70,,,42m 0s,2520
Melbourne - Sydney,One Tree - Marulan,115,,,1h 9m 0s,4140
Melbourne - Sydney,Marulan - The Nest,75,,,45m 0s,2700
Sydney - Brisbane (Coast),Mt White - Nabiac,227,16,60,2h 22m 36s,8556
Sydney - Brisbane (Coast),Nabiac - 4 Mile,17,,,10m 12s,612
Sydney - Brisbane (Coast),4 Mile - Figtree,19,,,11m 24s,684
Sydney - Brisbane (Coast),Figtree - Kew,33,,,19m 48s,1188
Sydney - Brisbane (Coast),Kew - Sapling Creek,15,,,9m 0s,540
Sydney - Brisbane (Coast),Sapling Creek - Tele Point,15,,,9m 0s,540
Sydney - Brisbane (Coast),Tele Point - Kempsey,36,,,21m 36s,1296
Sydney - Brisbane (Coast),Kempsey - Ballina,308,14,60,3h 10m 24s,11424
Sydney - Brisbane (Coast),Ballina - Chinderah,71,,,42m 36s,2556
Brisbane - Sydney (Coast),Chinderah - Ballina,71,,,42m 36s,2556
Brisbane - Sydney (Coast),Ballina - Kempsey,308,14,60,3h 10m 24s,11424
Brisbane - Sydney (Coast),Kempsey - Tele Point,36,,,21m 36s,1296
Brisbane - Sydney (Coast),Tele Point - Sapling Creek,15,,,9m 0s,540
Brisbane - Sydney (Coast),Sapling Creek - Kew,15,,,9m 0s,540
Brisbane - Sydney (Coast),Kew - Figtree,33,,,19m 48s,1188
Brisbane - Sydney (Coast),Figtree - 4 Mile,19,,,11m 24s,684
Brisbane - Sydney (Coast),4 Mile - Nabiac,17,,,10m 12s,612
Brisbane - Sydney (Coast),Nabiac - 12 Mile,103,,,1h 1m 48s,3708
Brisbane - Sydney (Coast),12 Mile - Mt White,124,16,60,1h 20m 48s,4848
Sydney - Brisbane (New England),Mt White - Branxton,123,,,1h 13m 48s,4428
Sydney - Brisbane (New England),Branxton - Bendemeer,265,,,2h 39m 0s,9540
Sydney - Brisbane (New England),Bendemeer - Dundee,195,,,1h 57m 0s,7020
Brisbane - Sydney (New England),Dundee - Bendemeer,195,,,1h 57m 0s,7020
Brisbane - Sydney (New England),Bendemeer - Branxton,265,,,2h 39m 0s,9540
Brisbane - Sydney (New England),Branxton - Mt White,123,,,1h 13m 48s,4428
Sydney - Adelaide (Sturt),Douglas Park - Marulan,91,,,54m 36s,3276
Sydney - Adelaide (Sturt),Marulan - One Tree,115,,,1h 9m 0s,4140
Sydney - Adelaide (Sturt),One Tree - Coolac,70,,,42m 0s,2520
Sydney - Adelaide (Sturt),Coolac - Gundagai,15,,,9m 0s,540
Sydney - Adelaide (Sturt),Gundagai - Darlington Pt,205,,,2h 2m 59s,7379
